lens_id,ra,dec,redshift,total_mass_Msun,mass_surface_density_Msun_per_Mpc2,density_class,surface_density_Msun_per_kpc2,environment_class,surface_density_kpc2
DESJ0124-2401,21.08599,-24.02993,0.65,0.0,0.0,zero_galaxies,,,
DESJ0124-2918,21.11886,-29.31561,0.52,0.0,0.0,zero_galaxies,,,
DESJ0124-5207,21.13009,-52.11745,0.89,0.0,0.0,zero_galaxies,,,
DESJ0125-3645,21.26461,-36.76638,0.77,0.0,0.0,zero_galaxies,,,
DESJ0125-4142,21.38994,-41.70499,0.58,0.0,0.0,zero_galaxies,,,
DESJ0126-1316,21.54952,-13.27835,0.71,0.0,0.0,zero_galaxies,,,
DESJ0127-4532,21.97158,-45.54274,0.54,0.0,0.0,zero_galaxies,,,
DESJ0129-1142,22.38341,-11.70389,0.4,0.0,0.0,zero_galaxies,,,
DESJ0130-1520,22.61039,-15.33691,0.63,0.0,0.0,zero_galaxies,,,
DESJ0130-1600,22.7106,-16.00237,0.67,0.0,0.0,zero_galaxies,,,
HE0047-1756,12.6158,-17.6693,0.407,0.0,0.0,zero_galaxies,,zero_galaxies,
DESJ0112-1650,18.141188,-16.840955,0.54,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0114+0722,18.6598,7.3747,0.408,978150000000000.0,6875748287140.976,high,6875748.287140978,cluster core (high density),
PMNJ0134-0931,23.64858,-9.51747,0.765,1086400000000000.0,4151717407784.636,medium,4151717.407784636,cluster core (high density),
J0140-1152,25.01251,-11.87206,0.28,0.0,0.0,zero_galaxies,,zero_galaxies,
Q0142-100,26.3194,-9.75475,0.491,1184750000000000.0,6746610464868.138,high,6746610.46486814,cluster core (high density),
PSJ0147+4630,26.79231,46.5118,0.678,0.0,0.0,zero_galaxies,,zero_galaxies,
QJ0158-4325,29.6724,-43.4178,0.317,0.0,0.0,zero_galaxies,,zero_galaxies,
B0218+357,35.27285,35.93716,0.685,0.0,0.0,zero_galaxies,,zero_galaxies,
HE0230-2130,38.13829,-21.29046,0.523,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0246-0825,41.64204,-8.42669,0.723,2760050000000000.0,10996834703933.08,high,10996834.70393308,cluster core (high density),
DESJ0247-6349,41.9779,-63.8233,0.43,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0256+0153,44.1697,1.8915,0.603,731300000000000.0,3393953169838.888,medium,3393953.169838888,cluster core (high density),
DESJ0407-1931,61.97413,-19.5228,0.29,0.0,0.0,zero_galaxies,,zero_galaxies,
DESJ0408-5354,62.0905,-53.8999,0.597,0.0,0.0,zero_galaxies,,zero_galaxies,
MG0414+0534,63.65719,5.57862,0.96,878450000000000.0,2923103216578.2085,medium,2923103.216578209,cluster core (high density),
HE0435-1223,69.5619,-12.28745,0.454,0.0,0.0,zero_galaxies,,zero_galaxies,
B0445+123,72.09163,12.46539,0.558,1507350000000000.0,7528503475403.634,high,7528503.475403632,cluster core (high density),
HE0512-3329,78.54541,-33.43958,0.93,0.0,0.0,zero_galaxies,,zero_galaxies,
B0631+519,98.80131,51.9505,0.62,0.0,0.0,zero_galaxies,,zero_galaxies,
B0712+472,109.0151,47.14735,0.406,0.0,0.0,zero_galaxies,,zero_galaxies,
ULASJ0743+2457,115.96921,24.96211,0.381,3075650000000000.0,23505171148565.32,high,23505171.148565304,cluster core (high density),
SDSSJ0746+4403,116.721,44.06425,0.513,2426700000000000.0,13193465959274.455,high,13193465.959274456,cluster core (high density),
SDSSJ0806+2006,121.59867,20.10874,0.573,4839400000000000.0,23558589944752.223,high,23558589.944752216,cluster core (high density),
SDSSJ0818+0601,124.6268,6.0271,1.01,2909950000000000.0,9450575478752.334,high,9450575.478752334,cluster core (high density),
SDSSJ0819+5356,124.99909,53.94018,0.294,922500000000000.0,9922475935231.006,high,9922475.935231004,cluster core (high density),
ULASJ0820+0812,125.06706,8.20466,0.803,6008950000000000.0,22206024975098.64,high,22206024.975098632,cluster core (high density),
HS0818+1227,125.4121,12.29191,0.39,3440250000000000.0,25544056692443.56,high,25544056.69244357,cluster core (high density),
SDSSJ0821+4542,125.4943,45.71233,0.349,5587750000000000.0,47733482168596.12,high,47733482.1685961,cluster core (high density),
SDSSJ0832+0404,128.0711,4.06789,0.659,2812250000000000.0,12070974722104.754,high,12070974.722104758,cluster core (high density),
PSJ0840+3550,130.1379,35.83334,0.26,3497450000000000.0,44796122416685.66,high,44796122.41668565,cluster core (high density),
B0850+054,133.22323,5.25435,0.5883,2410800000000000.0,11447041025912.05,high,11447041.025912052,cluster core (high density),
SDSSJ0903+5028,135.89609,50.47213,0.388,1802150000000000.0,13465939125533.191,high,13465939.125533195,cluster core (high density),
SDSSJ0909+4449,137.43957,44.83183,0.9,999850000000000.0,3443694027158.769,medium,3443694.027158768,cluster core (high density),
RXJ0911+0551,137.86471,5.84834,0.769,1819400000000000.0,6927161124286.44,high,6927161.124286439,cluster core (high density),
SBS0909+532,138.25425,52.99133,0.83,1893850000000000.0,6848765031687.424,high,6848765.031687422,cluster core (high density),
SDSSJ0921+2854,140.3142,28.9124,0.445,869700000000000.0,5522612637349.773,high,5522612.637349773,cluster core (high density),
SDSSJ0924+0219,141.23246,2.32358,0.393,2179300000000000.0,16030157725229.828,high,16030157.725229826,cluster core (high density),
J0941+0518,145.3439,5.3066,0.343,1558650000000000.0,13618487999506.469,high,13618487.999506462,cluster core (high density),
SDSSJ0946+1835,146.52017,18.59453,0.388,913500000000000.0,6825811054115.679,high,6825811.054115681,cluster core (high density),
PSJ0949+4208,147.4784,42.1336,0.508,1102250000000000.0,6054313705264.987,high,6054313.7052649865,cluster core (high density),
FBQ0951+2635,147.84404,26.58719,0.26,716950000000000.0,9182856071321.328,high,9182856.071321327,cluster core (high density),
BRI0952-0115,148.75038,-1.50187,0.632,1689750000000000.0,7518644744553.619,high,7518644.744553619,cluster core (high density),
COSMOS5921+0638,149.84071,2.11063,0.551,1088650000000000.0,5505111480093.217,high,5505111.4800932165,cluster core (high density),
Q0957+561,150.33665,55.89791,0.3562,2038200000000000.0,16958900739342.42,high,16958900.73934242,cluster core (high density),
SDSSJ1001+5027,150.36876,50.46595,0.415,1137300000000000.0,7833744927133.223,high,7833744.927133224,cluster core (high density),
J1004+1229,151.10379,12.48966,0.95,1637250000000000.0,5477125853116.594,high,5477125.853116592,cluster core (high density),
SDSSJ1004+4112,151.14294,41.2118,0.68,1068000000000000.0,4466406246648.234,medium,4466406.246648234,cluster core (high density),
LBQS1009-0252,153.06622,-3.11767,0.871,1314050000000000.0,4612629573053.758,medium,4612629.573053758,cluster core (high density),
SDSSJ1021+4913,155.29588,49.22508,0.451,1088250000000000.0,6805960962525.371,high,6805960.962525372,cluster core (high density),
SDSSJ1029+2623,157.30765,26.39171,0.584,706100000000000.0,3375888777292.608,medium,3375888.777292608,cluster core (high density),
B1030+074,158.39177,7.1905,0.599,695150000000000.0,3245963157988.48,medium,3245963.15798848,cluster core (high density),
SDSSJ1055+4628,163.93938,46.4777,0.388,741800000000000.0,5542842517726.339,high,5542842.51772634,cluster core (high density),
HE1104-1805,166.63938,-18.35672,0.729,1527150000000000.0,6046517184170.248,high,6046517.184170246,cluster core (high density),
PG1115+080,169.57035,7.76627,0.311,686950000000000.0,6839243151986.064,high,6839243.151986064,cluster core (high density),
RXJ1131-1231,172.9644,-12.5329,0.295,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1138+0314,174.51554,3.24939,0.445,873600000000000.0,5547377716441.028,high,5547377.716441028,cluster core (high density),
SDSSJ1155+6346,178.82195,63.77265,0.176,2234800000000000.0,52099592992324.1,high,52099592.992324114,cluster core (high density),
B1152+199,178.82639,19.66146,0.438,996300000000000.0,6442645445234.123,high,6442645.445234122,cluster core (high density),
SDSSJ1206+4332,181.62361,43.53856,0.748,726750000000000.0,2822832580494.739,medium,2822832.580494738,cluster core (high density),
SDSSJ1226-0006,186.53342,-0.10061,0.517,1606850000000000.0,8665976652804.645,high,8665976.652804643,cluster core (high density),
SDSSJ1251+2935,192.78154,29.59458,0.41,523100000000000.0,3655573256068.6914,medium,3655573.256068692,cluster core (high density),
SDSSJ1254+1857,193.6681,18.95333,0.555,1117250000000000.0,5609668378161.878,high,5609668.378161878,cluster core (high density),
2M1310-1714,197.5835,-17.24939,0.293,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1313+5151,198.41675,51.85801,0.194,1268950000000000.0,25331300351172.32,high,25331300.35117232,cluster core (high density),
SDSSJ1320+1644*,200.24778,16.73437,0.899,1145250000000000.0,3946960355260.0327,medium,3946960.355260035,cluster core (high density),
J1326+4806,201.50006,48.11208,0.396,709450000000000.0,5170236525151.469,high,5170236.525151468,cluster core (high density),
SDSSJ1330+1810,202.57772,18.17581,0.373,970350000000000.0,7614962674811.291,high,7614962.674811291,cluster core (high density),
SDSSJ1332+0347,203.09425,3.79442,0.191,1605900000000000.0,32855970354524.07,high,32855970.354524072,cluster core (high density),
SDSSJ1335+0118,203.89496,1.30153,0.44,2121550000000000.0,13647406635243.14,high,13647406.635243136,cluster core (high density),
SDSSJ1339+1310,204.77999,13.1775,0.607,1206050000000000.0,5563571591494.217,high,5563571.591494217,cluster core (high density),
Q1355-2257,208.9308,-22.9565,0.701,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1406+6126,211.60303,61.44446,0.27,1917400000000000.0,23257841740608.844,high,23257841.740608845,cluster core (high density),
HST14113+5211,212.8317,52.19158,0.465,792350000000000.0,4788303108488.598,medium,4788303.108488597,cluster core (high density),
B1422+231,216.15871,22.9335,0.339,1797600000000000.0,15949284774457.58,high,15949284.77445758,cluster core (high density),
SDSSJ1433+6007,218.345,60.121,0.407,1350300000000000.0,9519713038030.184,high,9519713.038030185,cluster core (high density),
SDSSJ1442+4055,220.7279,40.92656,0.284,937200000000000.0,10580550062500.29,high,10580550.06250029,cluster core (high density),
SDSSJ1452+4224,223.04792,42.40822,0.382,1388000000000000.0,10573097886855.22,high,10573097.886855222,cluster core (high density),
SDSSJ1515+1511,228.9106,15.19309,0.742,1787450000000000.0,6984127698154.908,high,6984127.698154909,cluster core (high density),
SDSSJ1524+4409,231.19008,44.16375,0.32,822150000000000.0,7875502434726.733,high,7875502.434726734,cluster core (high density),
SDSSJ1537+3014,234.39335,30.2485,0.49,1579850000000000.0,9016234669187.84,high,9016234.669187842,cluster core (high density),
B1600+434,240.41854,43.27994,0.414,2423200000000000.0,16739001213011.2,high,16739001.2130112,cluster core (high density),
PSJ1602+4526,240.7056,45.43528,0.426,1941050000000000.0,12963659461028.355,high,12963659.461028354,cluster core (high density),
B1608+656,242.3081,65.5411,0.63,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1620+1203,245.10931,12.0613,0.398,3201100000000000.0,23185979896079.902,high,23185979.89607991,cluster core (high density),
SDSSJ1640+1932,250.19029,19.54921,0.195,3703400000000000.0,73332767730538.52,high,73332767.73053853,cluster core (high density),
PSJ1721+8842,260.43437,88.70599,0.184,0.0,0.0,zero_galaxies,,zero_galaxies,
PKS1830-211,278.41625,-21.061111,0.886,0.0,0.0,zero_galaxies,,zero_galaxies,
B1933+503,293.62875,50.42312,0.755,0.0,0.0,zero_galaxies,,zero_galaxies,
B1938+666,294.60538,66.81471,0.881,0.0,0.0,zero_galaxies,,zero_galaxies,
HE0047-1756,12.6158,-17.6693,0.407,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
DESJ0112-1650,18.141188,-16.840955,0.54,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ0114+0722,18.6598,7.3747,0.408,978150000000000.0,6875748287140.976,high,,high_density,6875748.287140976
PMNJ0134-0931,23.64858,-9.51747,0.765,1086400000000000.0,4151717407784.636,medium,,high_density,4151717.407784636
J0140-1152,25.01251,-11.87206,0.28,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
Q0142-100,26.3194,-9.75475,0.491,1184750000000000.0,6746610464868.138,high,,high_density,6746610.464868138
PSJ0147+4630,26.79231,46.5118,0.678,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
QJ0158-4325,29.6724,-43.4178,0.317,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B0218+357,35.27285,35.93716,0.685,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
HE0230-2130,38.13829,-21.29046,0.523,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ0246-0825,41.64204,-8.42669,0.723,2760050000000000.0,10996834703933.08,high,,high_density,10996834.70393308
DESJ0247-6349,41.9779,-63.8233,0.43,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ0256+0153,44.1697,1.8915,0.603,731300000000000.0,3393953169838.888,medium,,high_density,3393953.169838888
DESJ0407-1931,61.97413,-19.5228,0.29,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
DESJ0408-5354,62.0905,-53.8999,0.597,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
MG0414+0534,63.65719,5.57862,0.96,878450000000000.0,2923103216578.2085,medium,,high_density,2923103.2165782084
HE0435-1223,69.5619,-12.28745,0.454,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B0445+123,72.09163,12.46539,0.558,1507350000000000.0,7528503475403.634,high,,high_density,7528503.475403634
HE0512-3329,78.54541,-33.43958,0.93,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B0631+519,98.80131,51.9505,0.62,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B0712+472,109.0151,47.14735,0.406,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
ULASJ0743+2457,115.96921,24.96211,0.381,3075650000000000.0,23505171148565.32,high,,high_density,23505171.14856532
SDSSJ0746+4403,116.721,44.06425,0.513,2426700000000000.0,13193465959274.455,high,,high_density,13193465.959274456
SDSSJ0806+2006,121.59867,20.10874,0.573,4839400000000000.0,23558589944752.223,high,,high_density,23558589.944752224
SDSSJ0818+0601,124.6268,6.0271,1.01,2909950000000000.0,9450575478752.334,high,,high_density,9450575.478752334
SDSSJ0819+5356,124.99909,53.94018,0.294,922500000000000.0,9922475935231.006,high,,high_density,9922475.935231006
ULASJ0820+0812,125.06706,8.20466,0.803,6008950000000000.0,22206024975098.64,high,,high_density,22206024.97509864
HS0818+1227,125.4121,12.29191,0.39,3440250000000000.0,25544056692443.56,high,,high_density,25544056.69244356
SDSSJ0821+4542,125.4943,45.71233,0.349,5587750000000000.0,47733482168596.12,high,,high_density,47733482.16859612
SDSSJ0832+0404,128.0711,4.06789,0.659,2812250000000000.0,12070974722104.754,high,,high_density,12070974.722104754
PSJ0840+3550,130.1379,35.83334,0.26,3497450000000000.0,44796122416685.66,high,,high_density,44796122.416685656
B0850+054,133.22323,5.25435,0.5883,2410800000000000.0,11447041025912.05,high,,high_density,11447041.02591205
SDSSJ0903+5028,135.89609,50.47213,0.388,1802150000000000.0,13465939125533.191,high,,high_density,13465939.125533191
SDSSJ0909+4449,137.43957,44.83183,0.9,999850000000000.0,3443694027158.769,medium,,high_density,3443694.027158769
RXJ0911+0551,137.86471,5.84834,0.769,1819400000000000.0,6927161124286.44,high,,high_density,6927161.12428644
SBS0909+532,138.25425,52.99133,0.83,1893850000000000.0,6848765031687.424,high,,high_density,6848765.031687424
SDSSJ0921+2854,140.3142,28.9124,0.445,869700000000000.0,5522612637349.773,high,,high_density,5522612.637349773
SDSSJ0924+0219,141.23246,2.32358,0.393,2179300000000000.0,16030157725229.828,high,,high_density,16030157.725229828
J0941+0518,145.3439,5.3066,0.343,1558650000000000.0,13618487999506.469,high,,high_density,13618487.999506468
SDSSJ0946+1835,146.52017,18.59453,0.388,913500000000000.0,6825811054115.679,high,,high_density,6825811.054115679
PSJ0949+4208,147.4784,42.1336,0.508,1102250000000000.0,6054313705264.987,high,,high_density,6054313.705264987
FBQ0951+2635,147.84404,26.58719,0.26,716950000000000.0,9182856071321.328,high,,high_density,9182856.071321327
BRI0952-0115,148.75038,-1.50187,0.632,1689750000000000.0,7518644744553.619,high,,high_density,7518644.744553619
COSMOS5921+0638,149.84071,2.11063,0.551,1088650000000000.0,5505111480093.217,high,,high_density,5505111.4800932165
Q0957+561,150.33665,55.89791,0.3562,2038200000000000.0,16958900739342.42,high,,high_density,16958900.73934242
SDSSJ1001+5027,150.36876,50.46595,0.415,1137300000000000.0,7833744927133.223,high,,high_density,7833744.927133223
J1004+1229,151.10379,12.48966,0.95,1637250000000000.0,5477125853116.594,high,,high_density,5477125.853116593
SDSSJ1004+4112,151.14294,41.2118,0.68,1068000000000000.0,4466406246648.234,medium,,high_density,4466406.246648234
LBQS1009-0252,153.06622,-3.11767,0.871,1314050000000000.0,4612629573053.758,medium,,high_density,4612629.573053758
SDSSJ1021+4913,155.29588,49.22508,0.451,1088250000000000.0,6805960962525.371,high,,high_density,6805960.962525371
SDSSJ1029+2623,157.30765,26.39171,0.584,706100000000000.0,3375888777292.608,medium,,high_density,3375888.777292608
B1030+074,158.39177,7.1905,0.599,695150000000000.0,3245963157988.48,medium,,high_density,3245963.15798848
SDSSJ1055+4628,163.93938,46.4777,0.388,741800000000000.0,5542842517726.339,high,,high_density,5542842.5177263385
HE1104-1805,166.63938,-18.35672,0.729,1527150000000000.0,6046517184170.248,high,,high_density,6046517.184170248
PG1115+080,169.57035,7.76627,0.311,686950000000000.0,6839243151986.064,high,,high_density,6839243.151986064
RXJ1131-1231,172.9644,-12.5329,0.295,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ1138+0314,174.51554,3.24939,0.445,873600000000000.0,5547377716441.028,high,,high_density,5547377.716441029
SDSSJ1155+6346,178.82195,63.77265,0.176,2234800000000000.0,52099592992324.1,high,,high_density,52099592.9923241
B1152+199,178.82639,19.66146,0.438,996300000000000.0,6442645445234.123,high,,high_density,6442645.445234123
SDSSJ1206+4332,181.62361,43.53856,0.748,726750000000000.0,2822832580494.739,medium,,high_density,2822832.580494738
SDSSJ1226-0006,186.53342,-0.10061,0.517,1606850000000000.0,8665976652804.645,high,,high_density,8665976.652804645
SDSSJ1251+2935,192.78154,29.59458,0.41,523100000000000.0,3655573256068.6914,medium,,high_density,3655573.256068692
SDSSJ1254+1857,193.6681,18.95333,0.555,1117250000000000.0,5609668378161.878,high,,high_density,5609668.378161878
2M1310-1714,197.5835,-17.24939,0.293,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ1313+5151,198.41675,51.85801,0.194,1268950000000000.0,25331300351172.32,high,,high_density,25331300.35117232
SDSSJ1320+1644*,200.24778,16.73437,0.899,1145250000000000.0,3946960355260.0327,medium,,high_density,3946960.3552600327
J1326+4806,201.50006,48.11208,0.396,709450000000000.0,5170236525151.469,high,,high_density,5170236.525151469
SDSSJ1330+1810,202.57772,18.17581,0.373,970350000000000.0,7614962674811.291,high,,high_density,7614962.674811291
SDSSJ1332+0347,203.09425,3.79442,0.191,1605900000000000.0,32855970354524.07,high,,high_density,32855970.35452407
SDSSJ1335+0118,203.89496,1.30153,0.44,2121550000000000.0,13647406635243.14,high,,high_density,13647406.63524314
SDSSJ1339+1310,204.77999,13.1775,0.607,1206050000000000.0,5563571591494.217,high,,high_density,5563571.591494217
Q1355-2257,208.9308,-22.9565,0.701,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ1406+6126,211.60303,61.44446,0.27,1917400000000000.0,23257841740608.844,high,,high_density,23257841.740608845
HST14113+5211,212.8317,52.19158,0.465,792350000000000.0,4788303108488.598,medium,,high_density,4788303.108488598
B1422+231,216.15871,22.9335,0.339,1797600000000000.0,15949284774457.58,high,,high_density,15949284.77445758
SDSSJ1433+6007,218.345,60.121,0.407,1350300000000000.0,9519713038030.184,high,,high_density,9519713.038030185
SDSSJ1442+4055,220.7279,40.92656,0.284,937200000000000.0,10580550062500.29,high,,high_density,10580550.062500289
SDSSJ1452+4224,223.04792,42.40822,0.382,1388000000000000.0,10573097886855.22,high,,high_density,10573097.88685522
SDSSJ1515+1511,228.9106,15.19309,0.742,1787450000000000.0,6984127698154.908,high,,high_density,6984127.698154909
SDSSJ1524+4409,231.19008,44.16375,0.32,822150000000000.0,7875502434726.733,high,,high_density,7875502.434726734
SDSSJ1537+3014,234.39335,30.2485,0.49,1579850000000000.0,9016234669187.84,high,,high_density,9016234.66918784
B1600+434,240.41854,43.27994,0.414,2423200000000000.0,16739001213011.2,high,,high_density,16739001.2130112
PSJ1602+4526,240.7056,45.43528,0.426,1941050000000000.0,12963659461028.355,high,,high_density,12963659.461028356
B1608+656,242.3081,65.5411,0.63,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
SDSSJ1620+1203,245.10931,12.0613,0.398,3201100000000000.0,23185979896079.902,high,,high_density,23185979.8960799
SDSSJ1640+1932,250.19029,19.54921,0.195,3703400000000000.0,73332767730538.52,high,,high_density,73332767.73053852
PSJ1721+8842,260.43437,88.70599,0.184,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
PKS1830-211,278.41625,-21.061111,0.886,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B1933+503,293.62875,50.42312,0.755,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B1938+666,294.60538,66.81471,0.881,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
MG2016+112,304.82529,11.45366,1.004,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
WGD2021-4115,305.414,-41.266,0.335,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
WFI2033-4723,308.4257,-47.3956,0.661,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
WGD2038-4008,309.5113,-40.1371,0.23,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B2045+265,311.83479,26.73367,0.87,6197550000000000.0,21769772649280.176,high,,high_density,21769772.649280176
J2100-4452,315.061905,-44.868508,0.203,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B2108+213,317.7253,21.5164,0.365,3459100000000000.0,27898972043886.41,high,,high_density,27898972.04388641
B2114+022*,319.2115,2.42975,0.316,5796550000000000.0,56475629351829.05,high,,high_density,56475629.351829045
HE0047-1756,12.6158,-17.6693,0.407,0.0,0.0,zero_galaxies,,,
DESJ0112-1650,18.141188,-16.840955,0.54,0.0,0.0,zero_galaxies,,,
SDSSJ0114+0722,18.6598,7.3747,0.408,999400000000000.0,7025121748370.588,high,,,
PMNJ0134-0931,23.64858,-9.51747,0.765,994500000000000.0,3800518190391.955,medium,,,
J0140-1152,25.01251,-11.87206,0.28,0.0,0.0,zero_galaxies,,,
Q0142-100,26.3194,-9.75475,0.491,1117750000000000.0,6365076047357.132,high,,,
PSJ0147+4630,26.79231,46.5118,0.678,0.0,0.0,zero_galaxies,,,
QJ0158-4325,29.6724,-43.4178,0.317,0.0,0.0,zero_galaxies,,,
B0218+357,35.27285,35.93716,0.685,0.0,0.0,zero_galaxies,,,
HE0230-2130,38.13829,-21.29046,0.523,0.0,0.0,zero_galaxies,,,
SDSSJ0246-0825,41.64204,-8.42669,0.723,2697400000000000.0,10747219046897.371,high,,,
DESJ0247-6349,41.9779,-63.8233,0.43,0.0,0.0,zero_galaxies,,,
SDSSJ0256+0153,44.1697,1.8915,0.603,708800000000000.0,3289530981514.842,medium,,,
DESJ0407-1931,61.97413,-19.5228,0.29,0.0,0.0,zero_galaxies,,,
DESJ0408-5354,62.0905,-53.8999,0.597,0.0,0.0,zero_galaxies,,,
MG0414+0534,63.65719,5.57862,0.96,883000000000000.0,2938243656711.888,medium,,,
HE0435-1223,69.5619,-12.28745,0.454,0.0,0.0,zero_galaxies,,,
B0445+123,72.09163,12.46539,0.558,1628800000000000.0,8135089037541.008,high,,,
HE0512-3329,78.54541,-33.43958,0.93,0.0,0.0,zero_galaxies,,,
B0631+519,98.80131,51.9505,0.62,0.0,0.0,zero_galaxies,,,
B0712+472,109.0151,47.14735,0.406,0.0,0.0,zero_galaxies,,,
ULASJ0743+2457,115.96921,24.96211,0.381,2895350000000000.0,22127256770113.176,high,,,
SDSSJ0746+4403,116.721,44.06425,0.513,2742750000000000.0,14911764437219.275,high,,,
SDSSJ0806+2006,121.59867,20.10874,0.573,4547750000000000.0,22138814196232.367,high,,,
SDSSJ0818+0601,124.6268,6.0271,1.01,2804500000000000.0,9108108019093.428,high,,,
SDSSJ0819+5356,124.99909,53.94018,0.294,918250000000000.0,9876762631464.36,high,,,
ULASJ0820+0812,125.06706,8.20466,0.803,6153800000000000.0,22741316950841.99,high,,,
HS0818+1227,125.4121,12.29191,0.39,3334650000000000.0,24759970539773.83,high,,,
SDSSJ0821+4542,125.4943,45.71233,0.349,5587750000000000.0,47733482168596.12,high,,,
SDSSJ0832+0404,128.0711,4.06789,0.659,2865800000000000.0,12300826512083.85,high,,,
PSJ0840+3550,130.1379,35.83334,0.26,3497450000000000.0,44796122416685.66,high,,,
B0850+054,133.22323,5.25435,0.5883,2011850000000000.0,9552733320051.916,high,,,
SDSSJ0903+5028,135.89609,50.47213,0.388,1813850000000000.0,13553363306521.863,high,,,
SDSSJ0909+4449,137.43957,44.83183,0.9,1040850000000000.0,3584906664167.829,medium,,,
RXJ0911+0551,137.86471,5.84834,0.769,1788400000000000.0,6809132106559.233,high,,,
SBS0909+532,138.25425,52.99133,0.83,1802800000000000.0,6519499220701.791,high,,,
SDSSJ0921+2854,140.3142,28.9124,0.445,843700000000000.0,5357512110074.743,high,,,
SDSSJ0924+0219,141.23246,2.32358,0.393,2032500000000000.0,14950349000380.684,high,,,
J0941+0518,145.3439,5.3066,0.343,1700350000000000.0,14856572078376.045,high,,,
SDSSJ0946+1835,146.52017,18.59453,0.388,913500000000000.0,6825811054115.679,high,,,
PSJ0949+4208,147.4784,42.1336,0.508,1081150000000000.0,5938418019911.31,high,,,
FBQ0951+2635,147.84404,26.58719,0.26,734100000000000.0,9402517109919.78,high,,,
BRI0952-0115,148.75038,-1.50187,0.632,1653600000000000.0,7357793134838.802,high,,,
COSMOS5921+0638,149.84071,2.11063,0.551,948600000000000.0,4796903274713.108,medium,,,
Q0957+561,150.33665,55.89791,0.3562,2105600000000000.0,17519704345382.889,high,,,
SDSSJ1001+5027,150.36876,50.46595,0.415,964050000000000.0,6640395495474.179,high,,,
J1004+1229,151.10379,12.48966,0.95,1545400000000000.0,5169858172793.638,high,,,
SDSSJ1004+4112,151.14294,41.2118,0.68,1074750000000000.0,4494634937813.849,medium,,,
LBQS1009-0252,153.06622,-3.11767,0.871,1360550000000000.0,4775855687088.231,medium,,,
SDSSJ1021+4913,155.29588,49.22508,0.451,1101000000000000.0,6885699995166.95,high,,,
SDSSJ1029+2623,157.30765,26.39171,0.584,668750000000000.0,3197317121957.8413,medium,,,
B1030+074,158.39177,7.1905,0.599,689650000000000.0,3220281222623.542,medium,,,
SDSSJ1055+4628,163.93938,46.4777,0.388,741500000000000.0,5540600872059.962,high,,,
HE1104-1805,166.63938,-18.35672,0.729,1652200000000000.0,6541633560348.416,high,,,
PG1115+080,169.57035,7.76627,0.311,637250000000000.0,6344432198272.247,high,,,
RXJ1131-1231,172.9644,-12.5329,0.295,0.0,0.0,zero_galaxies,,,
SDSSJ1138+0314,174.51554,3.24939,0.445,852750000000000.0,5414979793607.014,high,,,
SDSSJ1155+6346,178.82195,63.77265,0.176,2308150000000000.0,53809591715246.5,high,,,
B1152+199,178.82639,19.66146,0.438,946300000000000.0,6119316857196.679,high,,,
SDSSJ1206+4332,181.62361,43.53856,0.748,713250000000000.0,2770396061971.6167,medium,,,
SDSSJ1226-0006,186.53342,-0.10061,0.517,1593200000000000.0,8592360209881.67,high,,,
SDSSJ1251+2935,192.78154,29.59458,0.41,654350000000000.0,4572786006707.223,medium,,,
SDSSJ1254+1857,193.6681,18.95333,0.555,1194800000000000.0,5999043882951.723,high,,,
